"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Tadikonda (SC),86,SC,https://www.indiavotes.com/district/ac/272/,Vundavalli Sridevi,Yuvajana Sramika Rythu Congress Party,200265,177638,88.7 %,4433,2.5%
Tadipatri,151,GEN,Visakhapatnam,K. Pedda Reddy,Yuvajana Sramika Rythu Congress Party,234906,185811,79.1 %,7511,4.0%
Tanuku,61,GEN,https://www.indiavotes.com/district/ac/272/,Karumuri Venkata Nageswara Rao,Yuvajana Sramika Rythu Congress Party,232212,186609,80.4 %,2195,1.2%
Tekkali,3,GEN,https://www.indiavotes.com/district/ac/272/,Atchannaidu Kinjarapu,Telugu Desam,224833,173648,77.2 %,8545,4.9%
Tenali  ,91,GEN,https://www.indiavotes.com/district/ac/272/,Annabathuni Siva Kumar,Yuvajana Sramika Rythu Congress Party,263240,204616,77.7 %,17649,8.6%
Thamballapalle,162,GEN,East Godavari,Peddireddy Dwarakanatha Reddy,Yuvajana Sramika Rythu Congress Party,209979,174383,83.0 %,46938,26.9%
Tirupati,167,GEN,East Godavari,Bhumana Karunakar Reddy,Yuvajana Sramika Rythu Congress Party,270799,179009,66.1 %,708,0.4%
Tiruvuru ,69,SC,https://www.indiavotes.com/district/ac/272/,Kokkiligadda Rakshana Nidhi,Yuvajana Sramika Rythu Congress Party,203428,173933,85.5 %,10835,6.2%
Tuni,35,GEN,https://www.indiavotes.com/district/ac/272/,Dadisetti Raja,Yuvajana Sramika Rythu Congress Party,213037,174789,82.0 %,24016,13.7%
Udayagiri,123,GEN,Srikakulam,Mekapati Chandra Sekhar Reddy,Yuvajana Sramika Rythu Congress Party,231187,182871,79.1 %,36528,20.0%
Undi,60,GEN,https://www.indiavotes.com/district/ac/272/,Mantena Ramaraju,Telugu Desam,219561,184192,83.9 %,10949,5.9%
Unguturu,63,GEN,https://www.indiavotes.com/district/ac/272/,Puppala Srinivasarao,Yuvajana Sramika Rythu Congress Party,200207,171520,85.7 %,33153,19.3%
Uravakonda,149,GEN,Visakhapatnam,Payyavula Keshav,Telugu Desam,215918,185239,85.8 %,2132,1.2%
V.Madugula,27,GEN,https://www.indiavotes.com/district/ac/272/,Budi Mutyala Naidu,Yuvajana Sramika Rythu Congress Party,186291,149937,80.5 %,16392,10.9%
Vemuru (SC),89,SC,https://www.indiavotes.com/district/ac/272/,Merugu Nagarjuna,Yuvajana Sramika Rythu Congress Party,195268,169825,87.0 %,9999,5.9%
Venkatagiri,122,GEN,Srikakulam,Anam Ramanarayana Reddy,Yuvajana Sramika Rythu Congress Party,240272,186608,77.7 %,38720,20.7%
Vijayawada Central,80,GEN,https://www.indiavotes.com/district/ac/272/,Vishnu Vardhan Malladi,Yuvajana Sramika Rythu Congress Party,269840,176997,65.6 %,25,0.0%
Vijayawada East,81,GEN,https://www.indiavotes.com/district/ac/272/,Gadde Rama Mohan,Telugu Desam,275703,185860,67.4 %,15164,8.2%
Vijaywada West,79,GEN,https://www.indiavotes.com/district/ac/272/,Velam Palli Srinivasa Rao,Yuvajana Sramika Rythu Congress Party,232573,152847,65.7 %,7671,5.0%
Vinukonda,99,GEN,https://www.indiavotes.com/district/ac/272/,Bolla Brahma Naidu,Yuvajana Sramika Rythu Congress Party,251829,221735,88.0 %,28628,12.9%
Visakhapatnam East,21,GEN,https://www.indiavotes.com/district/ac/272/,Ramakrishna Babu Velagapudi,Telugu Desam,272426,172063,63.2 %,26474,15.4%
Visakhapatnam  North,23,GEN,https://www.indiavotes.com/district/ac/272/,Ganta Srinivasa Rao,Telugu Desam,280311,175430,62.6 %,1944,1.1%
Visakhapatnam South,22,GEN,https://www.indiavotes.com/district/ac/272/,Ganesh Kumar Vasupalli,Telugu Desam,209327,124493,59.5 %,3729,3.0%
Visakhapatnam  West,24,GEN,https://www.indiavotes.com/district/ac/272/,Gana Venkata Reddy Naidu Pethakamsetti (GANA BABU),Telugu Desam,236617,133257,56.3 %,18981,14.2%
Vizianagaram,18,GEN,https://www.indiavotes.com/district/ac/272/,Veera Bhadra Swamy Kolagatla,Yuvajana Sramika Rythu Congress Party,232002,162623,70.1 %,6417,3.9%
Yemmiganur,144,GEN,Visakhapatnam,K Chennakesava Reddy,Yuvajana Sramika Rythu Congress Party,227357,178661,78.6 %,25610,14.3%
Yerragondapalem ,102,SC,https://www.indiavotes.com/district/ac/272/,Audimulapu Suresh,Yuvajana Sramika Rythu Congress Party,200579,173450,86.5 %,31632,18.2%
